manchete,subtitulo,texto,data_publicacao,autor,classificacao_etaria,categoria
Dolores voluptas in omnis sequi sapiente sapiente nam.,Nam asperiores assumenda voluptas animi eum minima dolore dolore culpa.,Natus eius voluptatem quibusdam accusantium consequatur. Voluptates officiis magnam necessitatibus atque ea. Doloremque saepe sint maiores modi. Cum rerum suscipit eum mollitia.,2024-10-11,Ana Vitória Nunes,16,Esportes
Maxime labore aliquid voluptas.,Tempora enim nulla numquam sequi quo ullam aperiam ipsum.,Aut a delectus ex fugiat repellendus. Nemo corrupti omnis ut neque ipsam. Error excepturi quos corporis veniam nulla. Quae similique incidunt dolore consequatur veritatis repudiandae. Excepturi nihil omnis nulla incidunt nemo eaque.,2024-11-04,Pedro Henrique da Mata,18,Economia
Labore minima debitis voluptate pariatur ut ducimus sequi.,Est accusamus tempore velit adipisci quaerat.,Dolor ipsam dolore eligendi incidunt a nemo. Dicta possimus rem tempore pariatur consectetur porro. Accusamus necessitatibus cumque labore delectus rem. Cumque velit ut dolor possimus voluptates quos architecto. Ipsam molestiae eligendi voluptatibus repellendus nam nisi.,2024-07-07,Gabriela Jesus,12,Economia
Enim facere ab nemo dolore tenetur.,Quis totam velit distinctio molestias eaque vero.,Ipsum deserunt nemo temporibus dolore occaecati. Cum ea alias. Quas dolorum perspiciatis eum ipsum.,2024-06-22,Cecilia Abreu,0,Ciência
Aliquid impedit omnis in corrupti a.,Earum voluptatem impedit illum quod officiis est explicabo vitae officia perspiciatis delectus quasi.,Iure totam ad tempore perferendis. Odit aliquid aliquid blanditiis minus omnis quasi. Nesciunt iusto cumque placeat enim explicabo esse ducimus. Cupiditate blanditiis illum iure. Doloremque ab autem vero sapiente. Id saepe eaque eos iste quidem temporibus.,2024-06-16,Maria Fernanda Lopes,10,Ciência
Hic dolore commodi delectus consequatur asperiores porro.,Minima quis cum delectus qui laudantium ipsa minima amet neque.,Quo voluptates deserunt incidunt vitae. Ipsa vitae placeat ipsa debitis. Quos illum consequatur quisquam. Nulla earum aperiam magnam tempora quod quos. Facere nobis autem eligendi iste animi.,2024-10-27,Antonella Fonseca,10,Ciência
Molestias tempora excepturi.,Dignissimos explicabo repellat esse maiores quisquam reiciendis.,Incidunt praesentium perspiciatis ipsum error facere culpa. Necessitatibus rem laborum maxime. Deleniti repellat aspernatur iusto ad.,2024-07-04,Sra. Lavínia Cunha,16,Tecnologia
Reiciendis veritatis odio libero.,Autem tenetur facere quisquam explicabo molestias facere reprehenderit non id fugit veniam.,Quaerat laudantium cumque officia quis voluptatibus quaerat. Distinctio quasi cupiditate quisquam nesciunt illo. Magni perspiciatis accusantium hic. Quae ex animi optio esse aspernatur.,2024-08-20,João Vitor Costa,18,Esportes
Inventore aperiam sequi quo repellendus ut cupiditate.,Possimus labore blanditiis voluptatum eveniet facilis aliquid eos.,Nisi excepturi exercitationem libero vitae quaerat. Laudantium similique harum labore itaque. Architecto aspernatur provident laborum doloribus deleniti. Eligendi culpa quisquam accusamus tempora animi quaerat. Iste asperiores ipsam impedit occaecati reprehenderit. Aut tenetur harum quam.,2024-01-26,Mariana Ferreira,12,Economia
Aut corrupti repudiandae laborum similique cupiditate.,Expedita molestiae consectetur modi repudiandae molestiae.,Laboriosam placeat ex aut eius expedita. Amet minus nesciunt deserunt esse eos. Ex placeat adipisci quisquam sequi aspernatur. Fugit nam necessitatibus expedita perferendis libero consequatur possimus.,2024-10-01,Sr. Thiago Jesus,14,Ciência
